date_collected,site,tree,quadrat,total_mass,s1_weight,s1_count,s2_weight,s2_count,s3_weight,s3_count,s4_weight,s4_count,s5_weight,s5_count,notes,,,,,,,,,,
01/02/2024,glimmer,1,1,62,1.19,40,1.13,62,1.16,17,1.4,38,1.03,42,,,,,,,,,,,
01/02/2024,glimmer,1,2,91,1.22,54,1.48,57,1.2,53,1.14,43,1.14,47,,,,,,,,,,,
01/02/2024,glimmer,1,3,152,1.29,78,1.04,80,1.01,75,1.43,50,1.25,80,,1.28,87,1.02,88,1.1,83,1.33,98,1.27,68
01/02/2024,glimmer,1,4,63,1.09,74,1.01,92,1.16,75,1.06,62,1.09,89,,,,,,,,,,,
01/02/2024,glimmer,1,5,86,1.11,54,1.33,38,1.29,59,1.45,62,1.2,65,,,,,,,,,,,
01/02/2024,glimmer,2,1,113,1.34,2,1.05,1,1.14,8,1.2,3,1.02,12,,,,,,,,,,,
01/02/2024,glimmer,2,2,61,1.3,3,1.05,6,1.34,4,1.14,7,1.17,8,,,,,,,,,,,
01/02/2024,glimmer,2,3,14,1.46,0,1.31,1,1.04,0,1.06,1,1.41,0,,,,,,,,,,,
01/02/2024,glimmer,2,4,72,1.25,3,1.04,2,1.1,5,1.19,3,1.13,0,,1.23,4,1.36,0,1.08,2,1.14,1,1.08,3
01/02/2024,glimmer,2,5,94,1.24,9,1.24,4,1.22,10,1.29,7,1.36,7,,,,,,,,,,,
01/02/2024,glimmer,3,1,57,1.2,75,1.04,60,1.17,78,1.14,42,1.29,61,,,,,,,,,,,
01/02/2024,glimmer,3,2,85,1.17,28,1.23,32,1.28,18,1.23,12,1.44,38,,1.21,36,1.33,26,1.13,25,1.34,31,1.31,22
01/02/2024,glimmer,3,3,107,1.18,20,1.1,34,1.26,37,1.07,37,1.32,27,,,,,,,,,,,
01/02/2024,glimmer,3,4,83,1.45,3,1.29,2,1.14,10,1.32,3,1.38,12,,,,,,,,,,,
01/02/2024,glimmer,3,5,125,1.44,26,1.12,24,1.07,24,1.28,32,1.41,8,,,,,,,,,,,
01/03/2024,wade,1,1,183,1.22,46,1.06,33,1.35,8,1.12,50,1.32,9,,,,,,,,,,,
01/03/2024,wade,1,2,206,1.27,18,1.15,50,1.38,5,1.5,48,1.33,12,,,,,,,,,,,
01/03/2024,wade,1,3,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing,,,,,,,,,,
01/03/2024,wade,2,1,400,1.37,5,1.19,17,1.26,11,1.29,36,1.29,13,,,,,,,,,,,
01/03/2024,wade,2,2,393,1.1,12,1.27,25,1.21,14,1.22,16,1.5,11,,,,,,,,,,,
01/03/2024,wade,2,3,242,1.18,37,1.15,42,1.15,61,1.23,47,1.26,30,,,,,,,,,,,
01/03/2024,wade,3,4,100,1.16,13,1.04,7,1.13,27,1.11,21,1.12,35,,,,,,,,,,,
01/03/2024,wade,3,5,302,1.43,13,1.46,25,1.33,23,1.01,13,1.05,31,,,,,,,,,,,
01/03/2024,wade,3,6,188,1.19,31,1.07,20,1.14,34,1.31,13,1.36,17,,,,,,,,,,,
01/03/2024,wade,4,1 south,124,1.41,3,1.14,2,1.24,5,1.11,5,1.24,2,,,,,,,,,,,
01/03/2024,wade,4,1 west,85,1.23,14,1.3,6,1.26,17,1.19,21,1.08,16,,,,,,,,,,,
01/03/2024,wade,4,3 east,217,1.24,14,1.14,7,1.09,20,1.12,13,1.2,2,,,,,,,,,,,
01/03/2024,wade,4,3 north,0,0,0,0,0,0,0,0,0,0,0,"no cones in quadrat, no twigs harvested",,,,,,,,,,
01/03/2024,wade,5,4,416,1.24,54,1.03,41,1.39,90,1.23,62,1.18,44,,1.11,68,1.31,28,1.08,62,1.46,63,1.04,60
01/03/2024,wade,5,5,764,1.27,63,1.07,34,1.32,51,1.13,50,1.27,26,,,,,,,,,,,
01/03/2024,wade,5,6,383,1.35,16,1.1,6,1.11,17,1.02,22,1.15,13,,,,,,,,,,,
01/04/2024,cell tower,1,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing,,,,,,,,,,
01/04/2024,cell tower,1,6,45,0,0,0,0,0,0,0,0,0,0,no cones,,,,,,,,,,
01/04/2024,cell tower,1,7,88,1.24,5,1.09,2,1.27,1,1.3,0,1.14,2,1 aborted cone in s5,,,,,,,,,,
01/04/2024,cell tower,1,8,30,1.06,2,1.17,5,1.12,4,1.11,0,1.19,3,,,,,,,,,,,
01/04/2024,cell tower,2,1,106,1.17,16,1.47,17,1.36,12,1.25,5,1.48,13,,,,,,,,,,,
01/04/2024,cell tower,2,2,114,1.45,5,1.42,1,1.16,1,1.29,4,1.06,3,1 aborted cone in s5,,,,,,,,,,
01/04/2024,cell tower,2,3,208,1.37,23,1.08,19,1.15,17,1.37,10,1.17,17,,,,,,,,,,,
01/04/2024,cell tower,2,4,60,1.43,32,1.23,9,1.37,33,1.15,26,1.37,25,,,,,,,,,,,
01/04/2024,cell tower,3,1,144,1.55,58,1.11,27,1.44,30,1.28,54,1.22,20,,,,,,,,,,,
01/04/2024,cell tower,3,2,49,1.43,0,1.49,0,1.26,1,1.2,0,1.01,0,1 aborted cone in s2,,,,,,,,,,
01/04/2024,cell tower,3,3,126,1.35,4,1.34,7,1.2,3,1.26,0,1.09,2,,,,,,,,,,,
01/04/2024,cell tower,3,4,44,1.23,15,1.12,8,1.34,14,1.23,16,1.18,22,,,,,,,,,,,
01/04/2024,cell tower,4,5,209,1.02,3,1.07,10,1.2,6,1.43,8,1.25,10,,,,,,,,,,,
01/04/2024,cell tower,4,6,243,1.4,8,1.17,11,1.29,7,1.28,8,1.31,4,,,,,,,,,,,
01/04/2024,cell tower,4,7,110,1.14,9,1.3,6,1.32,13,1.32,19,1.22,12,,,,,,,,,,,
01/04/2024,cell tower,4,8,73,1.22,3,1.14,3,1.23,2,1.18,4,1.44,2,,1.09,14,1.25,4,1.11,8,1.02,3,1.1,0
01/05/2024,cathedral,1,1,86,1.45,38,1.18,28,1.36,18,1.13,18,1.28,22,,,,,,,,,,,
01/05/2024,cathedral,1,2,205,1.39,0,1.09,0,1.21,0,1.07,0,1.12,1,,,,,,,,,,,
01/05/2024,cathedral,1,3,162,1.3,3,1.31,5,1.01,5,1.21,11,1.43,2,,,,,,,,,,,
01/05/2024,cathedral,1,4,185,1.31,2,1.08,1,1.13,1,1.19,1,1.32,0,,,,,,,,,,,
01/05/2024,cathedral,2,5,95,1.05,21,1.1,36,1.18,16,1.29,20,1.24,23,,,,,,,,,,,
01/05/2024,cathedral,2,6,157,1.16,17,1.19,17,1.32,11,1.15,9,1.29,24,,,,,,,,,,,
01/05/2024,cathedral,2,7,47,1.19,26,1.27,28,1.38,27,1.25,50,1.13,33,,,,,,,,,,,
01/05/2024,cathedral,2,8,180,1.34,7,1.11,5,1.26,14,1.17,1,1.25,10,,1.02,3,1.19,8,1.34,8,1.23,8,1.33,17
01/05/2024,cathedral,3,1,24,1.07,31,1.21,27,1.35,35,1.45,50,1.23,20,this tree had more scales in the samples than usual so tried to visually represent scales as cones and count them that way,,,,,,,,,,
01/05/2024,cathedral,3,2,75,1.31,20,1.06,22,1.13,25,1.1,34,1.24,12,,,,,,,,,,,
01/05/2024,cathedral,3,3,57,1.3,30,1.33,12,1.06,30,1.09,22,1.32,37,,,,,,,,,,,
01/05/2024,cathedral,3,4,157,1.17,17,1.02,10,1.28,12,1.4,13,1.34,12,,,,,,,,,,,
01/05/2024,cathedral,4,5,85,1.12,1,1.1,0,1.1,1,1.12,2,1.11,1,,,,,,,,,,,
01/05/2024,cathedral,4,6,69,1.27,23,1.34,18,1.05,20,1.01,18,1.13,22,,1.08,18,1.02,18,1.35,20,1.01,9,1.02,9
01/05/2024,cathedral,4,7,152,1.33,0,1.25,1,1.09,1,1.04,0,1.13,0,,,,,,,,,,,
01/05/2024,cathedral,4,8,135,1.09,2,1.09,11,1.04,12,1.03,19,1.23,30,,,,,,,,,,,
01/05/2024,fisher,1,1,93,1.05,39,1.1,33,1.2,41,1.39,42,1.18,61,1,,,,,,,,,,
01/05/2024,fisher,1,2,60,1.08,34,1.45,40,1.34,18,1.2,53,1.25,29,,,,,,,,,,,
01/05/2024,fisher,1,3,25,1.39,19,1.31,9,1.07,15,1.44,20,1.21,11,4,1.15,16,1.38,9,1.23,12,1.2,24,1.32,30
01/05/2024,fisher,1,4,158,1.18,53,1.34,66,1.21,46,1.49,61,1.48,65,quadrat moved around a lot,,,,,,,,,,
01/05/2024,fisher,2,5,154,1.32,41,1.28,23,1.46,35,1.47,55,1.3,29,,,,,,,,,,,
01/05/2024,fisher,2,6,197,1.2,29,1.17,17,1.19,10,1.28,21,1.34,36,,1.36,28,1.42,16,1.21,24,1.33,23,1.48,21
01/05/2024,fisher,2,7,79,1.24,35,1.15,38,1.39,24,1.37,29,1.16,23,quadrat moved,,,,,,,,,,
01/05/2024,fisher,2,8,87,1.02,9,1.21,15,1.11,14,1.22,12,1.31,16,,,,,,,,,,,
01/08/2024,sweeten,1,1,278,1.12,25,1.17,15,1.03,21,1.18,19,1.31,28,,,,,,,,,,,
01/08/2024,sweeten,1,2,167,1.41,14,1.09,5,1.08,8,1.07,10,1.5,5,,,,,,,,,,,
01/08/2024,sweeten,1,3,212,1.34,17,1.4,31,1.05,26,1.06,28,1.03,29,,,,,,,,,,,
01/08/2024,sweeten,1,4,0,0,0,0,0,0,0,0,0,0,0,no foliage/cones,,,,,,,,,,
01/08/2024,sweeten,2,5,193,1.13,9,1.26,4,1.21,12,1.31,7,1.28,1,,,,,,,,,,,
01/08/2024,sweeten,2,6,170,1.27,12,1.15,20,1.47,3,1.28,10,1.37,11,,,,,,,,,,,
01/08/2024,sweeten,2,7,22,1.4,1,1.14,0,1.45,0,1.43,1,1.35,1,quadrat fell in wind before harvesting,,,,,,,,,,
01/08/2024,sweeten,2,8,145,1.5,5,1.06,6,1.39,0,1.23,9,1.31,10,quadrat fell in wind before harvesting,,,,,,,,,,
01/08/2024,sweeten,3,1,338,1.28,12,1.23,5,1.3,1,1.12,4,1.12,8,,,,,,,,,,,
01/08/2024,sweeten,3,2,136,1.33,6,1.32,1,1.33,0,1.25,6,1.34,1,quadrat fell in wind before harvesting,,,,,,,,,,
01/08/2024,sweeten,3,3,182,1.11,6,1.46,1,1.26,3,1.29,3,1.41,4,,,,,,,,,,,
01/08/2024,sweeten,3,4,195,1.08,11,1.2,5,1.1,7,1.17,7,1.46,8,,,,,,,,,,,
01/08/2024,sweeten,4,5,80,1.29,0,1.08,0,1.1,0,1.09,0,1.5,0,,,,,,,,,,,
01/08/2024,sweeten,4,6,65,1.46,2,1.22,0,1.36,0,1.06,0,1.32,1,2 aborted cones,,,,,,,,,,
01/08/2024,sweeten,4,7,110,1.2,0,1.12,1,1.22,0,1.17,0,1.16,1,quadrat moved a lot in the wind (but did not fall over),,,,,,,,,,
01/08/2024,sweeten,4,8,97,1.5,0,1.44,1,1.29,0,1.48,0,1.36,0,,,,,,,,,,,
01/09/2024,sonora,1,1,321,1.47,32,1.14,36,1.15,24,1.12,15,1.24,29,5 aborted cones,,,,,,,,,,
01/09/2024,sonora,1,2,89,1.48,26,1.18,25,1.23,24,1.1,16,1.1,20,,,,,,,,,,,
01/09/2024,sonora,1,3,99,1.19,19,1.28,19,1.36,23,1.12,25,1.45,14,,,,,,,,,,,
01/09/2024,sonora,1,4,187,1.15,1,1.24,1,1.41,1,1.36,1,1.42,4,,,,,,,,,,,
01/09/2024,sonora,2,5,7,0,0,0,0,0,0,0,0,0,0,0 cones in entire sample,,,,,,,,,,
01/09/2024,sonora,2,6,101,1.1,1,1.03,1,1.46,0,1.2,0,1.29,0,1 aborted,,,,,,,,,,
01/09/2024,sonora,2,7,294,1.28,0,1.05,0,1.29,0,1.08,1,1.3,2,,,,,,,,,,,
01/09/2024,sonora,2,8,73,1.37,1,1.35,0,1.14,0,1.43,0,1.23,0,,,,,,,,,,,
01/09/2024,sonora,3,1,46,1.26,27,1.37,7,1.1,25,1.27,25,1.13,23,1 aborted,,,,,,,,,,
01/09/2024,sonora,3,2,64,1.07,9,1.13,21,1.06,28,1.1,10,1.38,24,15,1.13,20,1.19,26,1.1,43,1.33,34,1.27,37
01/09/2024,sonora,3,3,7,7,208,,,,,,,,,,,,,,,,,,,
01/09/2024,sonora,3,4,88,1.39,15,1.33,7,1.17,4,1.39,13,1.17,3,,,,,,,,,,,
01/09/2024,sonora,4,5,224,1.32,32,1.37,35,1.35,32,1.19,25,1.15,40,4 aborted,,,,,,,,,,
01/09/2024,sonora,4,6,256,1.36,16,1.21,16,1.42,5,1.09,12,1.25,26,4,,,,,,,,,,
01/09/2024,sonora,4,7,66,1.29,7,1.18,7,1.22,7,1.09,6,1.4,10,5,1.38,6,1.08,6,1.47,10,1.46,4,1.21,8
01/09/2024,sonora,4,8,227,1.18,16,1.17,30,1.33,13,1.08,16,1.29,37,1,,,,,,,,,,
01/09/2024,sonora,5,1,120,1.16,41,1.45,56,1.2,29,1.29,37,1.14,36,1,,,,,,,,,,
01/09/2024,sonora,5,2,133,1.22,23,1.16,27,1.37,30,1.2,30,1.16,26,3,,,,,,,,,,
01/09/2024,sonora,5,3,121,1.29,36,1.03,46,1.12,48,1.28,65,1.15,43,,1.36,62,1.15,52,1.24,39,1.16,41,1.25,30
01/09/2024,sonora,5,4,147,1.08,28,1.14,26,1.37,42,1.17,35,1.18,46,,,,,,,,,,,
01/09/2024,sonora,6,5,133,1.35,12,1.11,9,1.18,10,1.25,7,1.3,4,,,,,,,,,,,
01/09/2024,sonora,6,6,106,1.28,15,1.47,14,1.12,10,1.19,11,1.44,10,,,,,,,,,,,
01/09/2024,sonora,6,7,29,1.26,0,1.3,0,1.32,1,1.39,1,1.27,1,,,,,,,,,,,
01/09/2024,sonora,6,8,144,1.12,0,1.25,4,1.17,1,1.23,4,1.13,2,,,,,,,,,,,
01/10/2024,kimble,1,1,116,1.26,69,1.17,49,1.36,61,1.19,79,1.2,83,1,,,,,,,,,,
01/10/2024,kimble,1,2,161,1.29,10,1.12,19,1.14,10,1.07,22,1.13,20,1,,,,,,,,,,
01/10/2024,kimble,1,3,142,1.23,41,1.12,32,1.29,57,1.04,43,1.19,54,,1.15,19,1.38,48,1.1,51,1.37,44,1.14,59
01/10/2024,kimble,1,4,13,1.03,9,1.35,3,1.48,12,1.39,10,1.18,11,1,,,,,,,,,,
01/10/2024,kimble,2,5,45,1.18,0,1.1,0,1.41,0,1.44,0,1.21,0,,,,,,,,,,,
01/10/2024,kimble,2,6,1,1,2,,,,,,,,,,,,,,,,,,,
01/10/2024,kimble,2,7,35,1.39,0,1.27,1,1.21,2,1.16,4,1.2,0,,1.27,1,1.16,0,1.04,2,1.16,0,1.24,1
01/10/2024,kimble,2,8,11,1.18,0,1.07,1,1.3,0,1.43,0,1.27,0,,,,,,,,,,,
01/10/2024,kimble,3,1,156,1.34,4,1.28,15,1.13,11,1.15,11,1.11,10,1,,,,,,,,,,
01/10/2024,kimble,3,2,188,1.34,41,1.41,19,1.06,55,1.26,30,1.09,21,2,,,,,,,,,,
01/10/2024,kimble,3,3,83,1.44,45,1.07,30,1.41,45,1.35,37,1.07,25,4,1.33,35,1.25,42,1.24,33,1.39,36,1.19,25
01/10/2024,kimble,3,4,142,1.37,29,1.11,12,1.35,15,1.14,12,1.24,17,1,,,,,,,,,,
01/10/2024,kimble,4,5,43,1.21,12,1.04,8,1.25,9,1.2,11,1.31,11,,,,,,,,,,,
01/10/2024,kimble,4,6,46,1.31,6,1.11,9,1.46,2,1.23,15,1.17,11,,,,,,,,,,,
01/10/2024,kimble,4,7,54,1.16,15,1.25,2,1.15,26,1.17,14,1.38,6,,,,,,,,,,,
01/10/2024,kimble,4,8,49,1.46,4,1.22,4,1.2,4,1.29,3,1.14,6,2,,,,,,,,,,
1/11/2024,cell tower,5,1,192,1.48,53,1.2,36,1.22,10,1.13,19,1.24,10,1,,,,,,,,,,
1/11/2024,cell tower,5,2,109,1.49,0,1.46,3,1.47,15,1.38,11,1.41,14,,,,,,,,,,,
1/11/2024,cell tower,5,3,139,1.12,87,1.07,60,1.47,86,1.3,52,1.23,101,,,,,,,,,,,
1/11/2024,cell tower,5,4,232,1.19,97,1.28,68,1.22,63,1.31,49,1.36,45,2,,,,,,,,,,
1/11/2024,cell tower,6,5,99,1.32,12,1.28,14,1.25,10,1.2,7,1.48,13,1,,,,,,,,,,
1/11/2024,cell tower,6,6,29,1.38,4,1.37,3,1.39,4,1.08,4,1.42,11,,,,,,,,,,,
1/11/2024,cell tower,6,7,51,1.36,28,1.21,33,1.02,24,1.39,16,1.28,19,,,,,,,,,,,
1/11/2024,cell tower,6,8,56,1.45,0,1.27,0,1.28,1,1.39,0,1.26,1,1,,,,,,,,,,
1/11/2024,cell tower,7,1,121,1.46,20,1.35,16,1.16,6,1.2,17,1.12,6,1,,,,,,,,,,
1/11/2024,cell tower,7,2,106,1.21,39,1.42,14,1.46,24,1.34,24,1.26,41,,,,,,,,,,,
1/11/2024,cell tower,7,3,132,1.33,37,1.3,14,1.12,14,1.35,33,1.09,43,,,,,,,,,,,
1/11/2024,cell tower,7,4,104,1.03,12,1.12,13,1.44,35,1.4,8,1.17,15,1,,,,,,,,,,
1/11/2024,cell tower,8,5,96,1.44,1,1.39,2,1.12,3,1.24,3,1.19,1,,,,,,,,,,,
1/11/2024,cell tower,8,6,0,0,0,0,0,0,0,0,0,0,0,quadrat is in a gap -- nothing between main quadrat and main stem,,,,,,,,,,
1/11/2024,cell tower,8,7,123,1.23,2,1.26,2,1.22,1,1.2,0,1.24,0,,,,,,,,,,,
1/11/2024,cell tower,8,8,60,1.33,1,1.07,0,1.43,1,1.32,1,1.42,1,,,,,,,,,,,
1/12/2024,cathedral,5,1,144,1.21,1,1.29,0,1.29,0,1.35,0,1.13,0,,,,,,,,,,,
1/12/2024,cathedral,5,2,163,1.47,0,1.26,0,1.43,0,1.25,0,1.33,0,,,,,,,,,,,
1/12/2024,cathedral,5,3,52,1.23,0,1.15,1,1.04,0,1.29,0,1.41,1,wind moved the quadrat before harvesting. we moved it back and took drone pic after moving it back to what we thought was original position,,,,,,,,,,
1/12/2024,cathedral,5,4,106,1.25,8,1.12,7,1.31,3,1.15,6,1.32,6,,,,,,,,,,,
1/12/2024,cathedral,6,5,76,1.29,2,1.01,0,1.35,0,1.19,1,1.07,1,,,,,,,,,,,
1/12/2024,cathedral,6,6,58,1.37,13,1.27,9,1.22,5,1.26,13,1.16,6,,,,,,,,,,,
1/12/2024,cathedral,6,7,60,1.27,1,1.2,0,1.22,0,1.32,0,1.34,1,,,,,,,,,,,
1/12/2024,cathedral,6,8,3,3,7,,,,,,,,,,,,,,,,,,,
1/12/2024,cathedral,7,1,150,1.46,16,1.08,25,1.4,19,1.32,22,1.39,16,14,,,,,,,,,,
1/12/2024,cathedral,7,2,188,1.47,13,1.44,5,1.33,4,1.38,4,1.23,9,,,,,,,,,,,
1/12/2024,cathedral,7,3,131,1.33,7,1.4,4,1.15,6,1.01,9,1.34,5,1,,,,,,,,,,
1/12/2024,cathedral,7,4,219,1.48,29,1.36,15,1.46,21,1.38,22,1.34,32,15,,,,,,,,,,
1/12/2024,fisher,3,1,221,1.43,19,1.21,14,1.47,17,1.28,25,1.44,10,1,,,,,,,,,,
1/12/2024,fisher,3,2,136,1.16,16,1.47,5,1.25,5,1.15,29,1.09,13,,,,,,,,,,,
1/12/2024,fisher,3,3,2,2,20,,,,,,,,,,,,,,,,,,,
1/12/2024,fisher,3,4,142,1.19,14,1.18,23,1.11,14,1.3,23,1.14,16,,,,,,,,,,,
1/12/2024,fisher,4,5,166,1.16,14,1.08,8,1.35,17,1.36,15,1.38,16,1,,,,,,,,,,
1/12/2024,fisher,4,6,119,1.4,52,1.24,87,1.25,53,1.33,66,1.3,36,,,,,,,,,,,
1/12/2024,fisher,4,7,80,1.35,34,1.23,12,1.23,16,1.09,6,1.48,24,,,,,,,,,,,
1/12/2024,fisher,4,8,53,1.37,1,1.28,1,1.07,0,1.1,0,1.1,0,2 aborted cones,,,,,,,,,,
1/16/2024,sonora,7,1,37,1.26,45,1.14,34,1.46,43,1.16,38,1.24,49,,,,,,,,,,,
1/16/2024,sonora,7,2,123,1.39,35,1.26,41,1.12,15,1.34,30,1.24,44,10 aborted cones,,,,,,,,,,
1/16/2024,sonora,7,3,205,1.12,31,1.22,33,1.07,35,1.12,41,1.35,23,6 aborted cones,,,,,,,,,,
1/16/2024,sonora,7,4,129,1.33,53,1.15,44,1.32,50,1.16,49,1.2,35,1 aborted cone,,,,,,,,,,
1/16/2024,sonora,8,5,154,1.16,36,1.4,23,1.29,33,1.07,41,1.24,34,,,,,,,,,,,
1/16/2024,sonora,8,6,88,1.37,35,1.18,28,1.42,43,1.13,30,1.38,25,,,,,,,,,,,
1/16/2024,sonora,8,7,80,1.36,17,1.2,11,1.23,19,1.06,10,1.16,11,,,,,,,,,,,
1/16/2024,sonora,8,8,54,1.15,19,1.25,17,1.26,42,1.21,36,1.05,19,1 aborted cone,,,,,,,,,,
1/17/2024,kimble,5,1,107,1.36,6,1.1,12,1.28,6,1.26,6,1.36,13,,,,,,,,,,,
1/17/2024,kimble,5,2,93,1.39,5,1.29,9,1.43,9,1.02,8,1.28,6,,,,,,,,,,,
1/17/2024,kimble,5,3,251,1.34,10,1.2,7,1.24,5,1.15,15,1.12,9,,,,,,,,,,,
1/17/2024,kimble,5,4,139,1.18,9,1.45,1,1.35,3,1.24,3,1.24,9,,,,,,,,,,,
1/17/2024,kimble,6,5,140,1.07,65,1.35,95,1.38,66,1.29,80,1.4,85,1 aborted cone,,,,,,,,,,
1/17/2024,kimble,6,6,144,1.47,115,1.12,136,1.2,112,1.07,101,1.43,89,,,,,,,,,,,
1/17/2024,kimble,6,7,152,1.05,17,1.36,14,1.2,23,1.44,19,1.13,19,5 aborted cones,,,,,,,,,,
1/17/2024,kimble,6,8,143,1.13,30,1.09,30,1.11,7,1.1,28,1.09,28,5 aborted cones,,,,,,,,,,